original_name,german_translation,meaning
Sphere Space Lighthouse Initiative,Sphärenraum Leuchtturminitiative,"Ein Name, der auf 'Leuchtturminitiative' im Sphärenraum hinweist."
Sphere Space Living Corridor,Sphärenraum Lebender Korridor,"Ein Name, der auf 'Lebender Korridor' im Sphärenraum hinweist."
Sphere Space Docks Standards,Sphärenraum Docks Standards,"Ein Name, der auf 'Docks Standards' im Sphärenraum hinweist."
Sphere Space Lasting Skyline,Sphärenraum Dauerhafte Skyline,"Ein Name, der auf 'Dauerhafte Skyline' im Sphärenraum hinweist."
Sphere Space Solar Way,Sphärenraum Solar Way,"Ein Name, der auf 'Solar Way' im Sphärenraum hinweist."
Sphere Space Silver Fields,Sphärenraum Silberfelder,"Ein Name, der auf 'Silberfelder' im Sphärenraum hinweist."
Sphere Space Terran Bazaars,Sphärenraum Terranische Basare,"Ein Name, der auf 'Terranische Basare' im Sphärenraum hinweist."
Sphere Space Orbital Passages,Sphärenraum Orbital Passagen,"Ein Name, der auf 'Orbital Passagen' im Sphärenraum hinweist."
Sphere Space Pioneer Theaters,Sphärenraum Pionierkinos,"Ein Name, der auf 'Pionierkinos' im Sphärenraum hinweist."
Sphere Space Bases Alliance,Sphärenraum Basis der Allianz,"Ein Name, der auf 'Basis der Allianz' im Sphärenraum hinweist."
Sphere Space Safe Exchanges,Sphärenraum Sicherer Austausch,"Ein Name, der auf 'Sicherer Austausch' im Sphärenraum hinweist."
Sphere Space Golden Parks,Sphärenraum Goldene Parks,"Ein Name, der auf 'Goldene Parks' im Sphärenraum hinweist."
Sphere Space Frontier Protocols,Sphärenraum Grenzprotokolle,"Ein Name, der auf 'Grenzprotokolle' im Sphärenraum hinweist."
Sphere Space New Lanes,Sphärenraum Neue Gassen,"Ein Name, der auf 'Neue Gassen' im Sphärenraum hinweist."
Sphere Space Stellar Hangars,Sphärenraum Sternhangars,"Ein Name, der auf 'Sternhangars' im Sphärenraum hinweist."
Sphere Space Resilient Passage,Sphärenraum Widerstandsfähiger Durchgang,"Ein Name, der auf 'Widerstandsfähiger Durchgang' im Sphärenraum hinweist."
Sphere Space Arrays Council,Sphärenraum Arrays Council,"Ein Name, der auf 'Arrays Council' im Sphärenraum hinweist."
Sphere Space Earth District,Sphärenraum Erdbezirk,"Ein Name, der auf 'Erdbezirk' im Sphärenraum hinweist."
Sphere Space Arboretum,Sphärenraum Arboretum,"Ein Name, der auf 'Arboretum' im Sphärenraum hinweist."
Sphere Space Next Harborfronts,Sphärenraum Nächste Hafenfront,"Ein Name, der auf 'Nächste Hafenfront' im Sphärenraum hinweist."
Sphere Space Solar Archives,Sphärenraum Solararchive,"Ein Name, der auf 'Solararchive' im Sphärenraum hinweist."
Sphere Space Free Yard,Sphärenraum Freier Hof,"Ein Name, der auf 'Freier Hof' im Sphärenraum hinweist."
Sphere Space True Market,Sphärenraum Wahrer Markt,"Ein Name, der auf 'Wahrer Markt' im Sphärenraum hinweist."
Sphere Space Quiet Factories,Sphärenraum Ruhige Fabriken,"Ein Name, der auf 'Ruhige Fabriken' im Sphärenraum hinweist."
Sphere Space Next Alliances,Sphärenraum Nächste Allianzen,"Ein Name, der auf 'Nächste Allianzen' im Sphärenraum hinweist."
Sphere Space Timeless Harborline,Sphärenraum Zeitlose Hafenlinie,"Ein Name, der auf 'Zeitlose Hafenlinie' im Sphärenraum hinweist."
Sphere Space True Arch,Sphärenraum Wahrer Bogen,"Ein Name, der auf 'Wahrer Bogen' im Sphärenraum hinweist."
Sphere Space Shelter Alliance,Sphärenraum Schutzallianz,"Ein Name, der auf 'Schutzallianz' im Sphärenraum hinweist."
Sphere Space Green Home,Sphärenraum Grünes Zuhause,"Ein Name, der auf 'Grünes Zuhause' im Sphärenraum hinweist."
Sphere Space Civic Sphere,Sphärenraum Bürgersphäre,"Ein Name, der auf 'Bürgersphäre' im Sphärenraum hinweist."
Sphere Space Harmonic Refuge,Sphärenraum Harmonische Zuflucht,"Ein Name, der auf 'Harmonische Zuflucht' im Sphärenraum hinweist."
Sphere Space Bazaars Alliance,Sphärenraum Bazaar -Allianz,"Ein Name, der auf 'Bazaar -Allianz' im Sphärenraum hinweist."
Sphere Space Harmonic Sun,Sphärenraum Harmonische Sonne,"Ein Name, der auf 'Harmonische Sonne' im Sphärenraum hinweist."
Sphere Space Earthborn Civic,Sphärenraum Earthborn Civic,"Ein Name, der auf 'Earthborn Civic' im Sphärenraum hinweist."
Sphere Space Safe Plazas,Sphärenraum Sichere Plätze,"Ein Name, der auf 'Sichere Plätze' im Sphärenraum hinweist."
Sphere Space Auroras,Sphärenraum Auroras,"Ein Name, der auf 'Auroras' im Sphärenraum hinweist."
Sphere Space Park Council,Sphärenraum Parkrat,"Ein Name, der auf 'Parkrat' im Sphärenraum hinweist."
Sphere Space Orbital Heritage,Sphärenraum Orbitalerbe,"Ein Name, der auf 'Orbitalerbe' im Sphärenraum hinweist."
Sphere Space United Cooperatives,Sphärenraum Vereinigte Genossenschaften,"Ein Name, der auf 'Vereinigte Genossenschaften' im Sphärenraum hinweist."
Sphere Space Public Paths,Sphärenraum Öffentliche Wege,"Ein Name, der auf 'Öffentliche Wege' im Sphärenraum hinweist."
Sphere Space Perennial Guild,Sphärenraum Mehrjährige Gilde,"Ein Name, der auf 'Mehrjährige Gilde' im Sphärenraum hinweist."
Sphere Space Humane Gallery,Sphärenraum Humane Galerie,"Ein Name, der auf 'Humane Galerie' im Sphärenraum hinweist."
Sphere Space Deep District,Sphärenraum Tiefes Bezirk,"Ein Name, der auf 'Tiefes Bezirk' im Sphärenraum hinweist."
Sphere Space Free Arcs,Sphärenraum Freie Bögen,"Ein Name, der auf 'Freie Bögen' im Sphärenraum hinweist."
Sphere Space Solar Forum,Sphärenraum Solarforum,"Ein Name, der auf 'Solarforum' im Sphärenraum hinweist."
Sphere Space Trust,Sphärenraum Vertrauen,"Ein Name, der auf 'Vertrauen' im Sphärenraum hinweist."
Sphere Space United Horizons,Sphärenraum United Horizons,"Ein Name, der auf 'United Horizons' im Sphärenraum hinweist."
Sphere Space Orbital Ports,Sphärenraum Orbitalports,"Ein Name, der auf 'Orbitalports' im Sphärenraum hinweist."
Sphere Space Humane Living,Sphärenraum Humanes Leben,"Ein Name, der auf 'Humanes Leben' im Sphärenraum hinweist."
Sphere Space Balanced Towns,Sphärenraum Ausgeglichene Städte,"Ein Name, der auf 'Ausgeglichene Städte' im Sphärenraum hinweist."
Sphere Space Prime Hubs,Sphärenraum Prime Hubs,"Ein Name, der auf 'Prime Hubs' im Sphärenraum hinweist."
Sphere Space Civic Seafront,Sphärenraum Bürger am Meer,"Ein Name, der auf 'Bürger am Meer' im Sphärenraum hinweist."
Sphere Space Terraces Program,Sphärenraum Terrassenprogramm,"Ein Name, der auf 'Terrassenprogramm' im Sphärenraum hinweist."
Sphere Space Council Trust,Sphärenraum Ratsvertrauen,"Ein Name, der auf 'Ratsvertrauen' im Sphärenraum hinweist."
Sphere Space Pioneer Shelter,Sphärenraum Pioneer Shelter,"Ein Name, der auf 'Pioneer Shelter' im Sphärenraum hinweist."
Sphere Space Deep Agora,Sphärenraum Tiefe Agora,"Ein Name, der auf 'Tiefe Agora' im Sphärenraum hinweist."
Sphere Space Registries Commons,Sphärenraum Registries Commons,"Ein Name, der auf 'Registries Commons' im Sphärenraum hinweist."
Sphere Space Living Gardenworks,Sphärenraum Lebende Gartenwerke,"Ein Name, der auf 'Lebende Gartenwerke' im Sphärenraum hinweist."
Sphere Space Lasting Institute,Sphärenraum Dauerhaftes Institut,"Ein Name, der auf 'Dauerhaftes Institut' im Sphärenraum hinweist."
Sphere Space Initiative,Sphärenraum Initiative,"Ein Name, der auf 'Initiative' im Sphärenraum hinweist."
Sphere Space Quiet Auroras,Sphärenraum Ruhige Auroras,"Ein Name, der auf 'Ruhige Auroras' im Sphärenraum hinweist."
Sphere Space Resilient Worlds,Sphärenraum Belastbare Welten,"Ein Name, der auf 'Belastbare Welten' im Sphärenraum hinweist."
Sphere Space Terran Jetty,Sphärenraum Terraner Steg,"Ein Name, der auf 'Terraner Steg' im Sphärenraum hinweist."
Sphere Space Open Nodes,Sphärenraum Offene Knoten,"Ein Name, der auf 'Offene Knoten' im Sphärenraum hinweist."
Sphere Space Future Trust,Sphärenraum Zukünftiges Vertrauen,"Ein Name, der auf 'Zukünftiges Vertrauen' im Sphärenraum hinweist."
Sphere Space Prime Yards,Sphärenraum Prime Yards,"Ein Name, der auf 'Prime Yards' im Sphärenraum hinweist."
Sphere Space Blue Port,Sphärenraum Blauer Port,"Ein Name, der auf 'Blauer Port' im Sphärenraum hinweist."
Sphere Space Calm Pioneers,Sphärenraum Ruhige Pioniere,"Ein Name, der auf 'Ruhige Pioniere' im Sphärenraum hinweist."
Sphere Space Future Node,Sphärenraum Zukünftiger Knoten,"Ein Name, der auf 'Zukünftiger Knoten' im Sphärenraum hinweist."
Sphere Space Frontier Sanctuaries,Sphärenraum Grenzschutzgebiete,"Ein Name, der auf 'Grenzschutzgebiete' im Sphärenraum hinweist."
Sphere Space Prime Forum,Sphärenraum Prime Forum,"Ein Name, der auf 'Prime Forum' im Sphärenraum hinweist."
Sphere Space Pioneer Fellowships,Sphärenraum Pioneer Fellowships,"Ein Name, der auf 'Pioneer Fellowships' im Sphärenraum hinweist."
Sphere Space Eternal Biospheres,Sphärenraum Ewige Biosphären,"Ein Name, der auf 'Ewige Biosphären' im Sphärenraum hinweist."
Sphere Space Blue Ports,Sphärenraum Blaue Ports,"Ein Name, der auf 'Blaue Ports' im Sphärenraum hinweist."
Sphere Space Lasting Outposts,Sphärenraum Dauerhafte Außenposten,"Ein Name, der auf 'Dauerhafte Außenposten' im Sphärenraum hinweist."
Sphere Space Prime Skyline,Sphärenraum Prime Skyline,"Ein Name, der auf 'Prime Skyline' im Sphärenraum hinweist."
Sphere Space True Stations,Sphärenraum Wahre Stationen,"Ein Name, der auf 'Wahre Stationen' im Sphärenraum hinweist."
Sphere Space Refuges Network,Sphärenraum Refuges Network,"Ein Name, der auf 'Refuges Network' im Sphärenraum hinweist."
Sphere Space True Basecamp,Sphärenraum Wahres Basiscamp,"Ein Name, der auf 'Wahres Basiscamp' im Sphärenraum hinweist."
Sphere Space Enduring Ring,Sphärenraum Dauerhafter Ring,"Ein Name, der auf 'Dauerhafter Ring' im Sphärenraum hinweist."
Sphere Space Project Alliance,Sphärenraum Projektallianz,"Ein Name, der auf 'Projektallianz' im Sphärenraum hinweist."
Sphere Space Civic Workshop,Sphärenraum Bürgerworkshop,"Ein Name, der auf 'Bürgerworkshop' im Sphärenraum hinweist."
Sphere Space Enduring Blueprint,Sphärenraum Dauerhafte Blaupause,"Ein Name, der auf 'Dauerhafte Blaupause' im Sphärenraum hinweist."
Sphere Space Boulevards Trust,Sphärenraum Boulevards Trust,"Ein Name, der auf 'Boulevards Trust' im Sphärenraum hinweist."
Sphere Space Enduring Rings,Sphärenraum Dauerhafte Ringe,"Ein Name, der auf 'Dauerhafte Ringe' im Sphärenraum hinweist."
Sphere Space Enduring Hospitals,Sphärenraum Dauerhafte Krankenhäuser,"Ein Name, der auf 'Dauerhafte Krankenhäuser' im Sphärenraum hinweist."
Sphere Space Factories Initiative,Sphärenraum Fabrikinitiative,"Ein Name, der auf 'Fabrikinitiative' im Sphärenraum hinweist."
Sphere Space Green Squares,Sphärenraum Grüne Quadrate,"Ein Name, der auf 'Grüne Quadrate' im Sphärenraum hinweist."
Sphere Space Green Terraces,Sphärenraum Grüne Terrassen,"Ein Name, der auf 'Grüne Terrassen' im Sphärenraum hinweist."
Sphere Space City Program,Sphärenraum Stadtprogramm,"Ein Name, der auf 'Stadtprogramm' im Sphärenraum hinweist."
Sphere Space Free Council,Sphärenraum Freier Rat,"Ein Name, der auf 'Freier Rat' im Sphärenraum hinweist."
Sphere Space Safe Guilds,Sphärenraum Sichere Gilden,"Ein Name, der auf 'Sichere Gilden' im Sphärenraum hinweist."
Sphere Space Pure Operas,Sphärenraum Reine Opern,"Ein Name, der auf 'Reine Opern' im Sphärenraum hinweist."
Sphere Space Safe Gardenworks,Sphärenraum Sichere Gartenwerke,"Ein Name, der auf 'Sichere Gartenwerke' im Sphärenraum hinweist."
Sphere Space Enduring Trust,Sphärenraum Dauerhaftes Vertrauen,"Ein Name, der auf 'Dauerhaftes Vertrauen' im Sphärenraum hinweist."
Sphere Space Arboreta Alliance,Sphärenraum Arboreta Alliance,"Ein Name, der auf 'Arboreta Alliance' im Sphärenraum hinweist."
Sphere Space True Harbors,Sphärenraum Wahre Häfen,"Ein Name, der auf 'Wahre Häfen' im Sphärenraum hinweist."
Sphere Space Arcade Program,Sphärenraum Arcade -Programm,"Ein Name, der auf 'Arcade -Programm' im Sphärenraum hinweist."
Sphere Space Golden Basecamps,Sphärenraum Goldene Basiscamps,"Ein Name, der auf 'Goldene Basiscamps' im Sphärenraum hinweist."
Sphere Space Civic Journey,Sphärenraum Bürgerreise,"Ein Name, der auf 'Bürgerreise' im Sphärenraum hinweist."
Sphere Space Balanced Peaks,Sphärenraum Ausgeglichene Gipfel,"Ein Name, der auf 'Ausgeglichene Gipfel' im Sphärenraum hinweist."
Sphere Space Playbook Commons,Sphärenraum Playbook Commons,"Ein Name, der auf 'Playbook Commons' im Sphärenraum hinweist."
Sphere Space Base Foundation,Sphärenraum Basisstiftung,"Ein Name, der auf 'Basisstiftung' im Sphärenraum hinweist."
Sphere Space Resilient Projects,Sphärenraum Belastbare Projekte,"Ein Name, der auf 'Belastbare Projekte' im Sphärenraum hinweist."
Sphere Space Perennial Avenues,Sphärenraum Mehrjährige Wege,"Ein Name, der auf 'Mehrjährige Wege' im Sphärenraum hinweist."
Sphere Space Resilient Green,Sphärenraum Belastbar grün,"Ein Name, der auf 'Belastbar grün' im Sphärenraum hinweist."
Sphere Space Node Trust,Sphärenraum Knotenvertrauen,"Ein Name, der auf 'Knotenvertrauen' im Sphärenraum hinweist."
Sphere Space Civil Orbit,Sphärenraum Zivilumlaufbahn,"Ein Name, der auf 'Zivilumlaufbahn' im Sphärenraum hinweist."
Sphere Space Next Arrays,Sphärenraum Nächste Arrays,"Ein Name, der auf 'Nächste Arrays' im Sphärenraum hinweist."
Sphere Space Balanced Standards,Sphärenraum Ausgeglichene Standards,"Ein Name, der auf 'Ausgeglichene Standards' im Sphärenraum hinweist."
Sphere Space Manifests Standards,Sphärenraum Manifestiert Standards,"Ein Name, der auf 'Manifestiert Standards' im Sphärenraum hinweist."
Sphere Space Human Charters,Sphärenraum Menschliche Chartas,"Ein Name, der auf 'Menschliche Chartas' im Sphärenraum hinweist."
Sphere Space Earthborn World,Sphärenraum Erdegeborene Welt,"Ein Name, der auf 'Erdegeborene Welt' im Sphärenraum hinweist."
Sphere Space Lasting Colonies,Sphärenraum Dauerhafte Kolonien,"Ein Name, der auf 'Dauerhafte Kolonien' im Sphärenraum hinweist."
Sphere Space Global Greens,Sphärenraum Globales Grün,"Ein Name, der auf 'Globales Grün' im Sphärenraum hinweist."
Sphere Space Pure Theaters,Sphärenraum Reine Theater,"Ein Name, der auf 'Reine Theater' im Sphärenraum hinweist."
Sphere Space Civic Domus,Sphärenraum Civic Domus,"Ein Name, der auf 'Civic Domus' im Sphärenraum hinweist."
Sphere Space Prime Clinic,Sphärenraum Prime Clinic,"Ein Name, der auf 'Prime Clinic' im Sphärenraum hinweist."
Sphere Space Courts Standards,Sphärenraum Gerichte Standards,"Ein Name, der auf 'Gerichte Standards' im Sphärenraum hinweist."
Sphere Space Harmonic Metropolis,Sphärenraum Harmonische Metropole,"Ein Name, der auf 'Harmonische Metropole' im Sphärenraum hinweist."
Sphere Space Next Agora,Sphärenraum Nächstes Agora,"Ein Name, der auf 'Nächstes Agora' im Sphärenraum hinweist."
Sphere Space Next Skylines,Sphärenraum Nächste Skylines,"Ein Name, der auf 'Nächste Skylines' im Sphärenraum hinweist."
Sphere Space New Laboratory,Sphärenraum Neues Labor,"Ein Name, der auf 'Neues Labor' im Sphärenraum hinweist."
Sphere Space True Hospital,Sphärenraum Wahres Krankenhaus,"Ein Name, der auf 'Wahres Krankenhaus' im Sphärenraum hinweist."
Sphere Space Common Shipyard,Sphärenraum Gemeinsame Werft,"Ein Name, der auf 'Gemeinsame Werft' im Sphärenraum hinweist."
Sphere Space Harmonic Aurora,Sphärenraum Harmonische Aurora,"Ein Name, der auf 'Harmonische Aurora' im Sphärenraum hinweist."
Sphere Space Public Guilds,Sphärenraum Öffentliche Gilden,"Ein Name, der auf 'Öffentliche Gilden' im Sphärenraum hinweist."
Sphere Space Civics Alliance,Sphärenraum Civics Alliance,"Ein Name, der auf 'Civics Alliance' im Sphärenraum hinweist."
Sphere Space Calm Sky,Sphärenraum Ruhiger Himmel,"Ein Name, der auf 'Ruhiger Himmel' im Sphärenraum hinweist."
Sphere Space Silver Renewal,Sphärenraum Silbererneuerung,"Ein Name, der auf 'Silbererneuerung' im Sphärenraum hinweist."
Sphere Space Square Trust,Sphärenraum Square Trust,"Ein Name, der auf 'Square Trust' im Sphärenraum hinweist."
Sphere Space Legacy Council,Sphärenraum Legacy Council,"Ein Name, der auf 'Legacy Council' im Sphärenraum hinweist."
Sphere Space New Crest,Sphärenraum Neues Wappen,"Ein Name, der auf 'Neues Wappen' im Sphärenraum hinweist."
Sphere Space Beacon Trust,Sphärenraum Beacon Trust,"Ein Name, der auf 'Beacon Trust' im Sphärenraum hinweist."
Sphere Space Orbital Seafronts,Sphärenraum Orbitalseefrags,"Ein Name, der auf 'Orbitalseefrags' im Sphärenraum hinweist."
Sphere Space Habitats Council,Sphärenraum Habitats Council,"Ein Name, der auf 'Habitats Council' im Sphärenraum hinweist."
Sphere Space Museums Commons,Sphärenraum Museen Commons,"Ein Name, der auf 'Museen Commons' im Sphärenraum hinweist."
Sphere Space Future Renewal,Sphärenraum Zukünftige Erneuerung,"Ein Name, der auf 'Zukünftige Erneuerung' im Sphärenraum hinweist."
Sphere Space Human Metropolises,Sphärenraum Menschliche Metropolen,"Ein Name, der auf 'Menschliche Metropolen' im Sphärenraum hinweist."
Sphere Space Next Clinic,Sphärenraum Nächste Klinik,"Ein Name, der auf 'Nächste Klinik' im Sphärenraum hinweist."
Sphere Space Enduring Venture,Sphärenraum Dauerhaftes Unternehmen,"Ein Name, der auf 'Dauerhaftes Unternehmen' im Sphärenraum hinweist."
Sphere Space Outposts Trust,Sphärenraum Außenposten Trust,"Ein Name, der auf 'Außenposten Trust' im Sphärenraum hinweist."
Sphere Space Silver Cluster,Sphärenraum Silbercluster,"Ein Name, der auf 'Silbercluster' im Sphärenraum hinweist."
Sphere Space Haven Commons,Sphärenraum Haven Commons,"Ein Name, der auf 'Haven Commons' im Sphärenraum hinweist."
Sphere Space Blue Forum,Sphärenraum Blaues Forum,"Ein Name, der auf 'Blaues Forum' im Sphärenraum hinweist."
Sphere Space Solar Voyages,Sphärenraum Solaranlagen,"Ein Name, der auf 'Solaranlagen' im Sphärenraum hinweist."
Sphere Space Resilient Sancta,Sphärenraum Belastbares Sanftmut,"Ein Name, der auf 'Belastbares Sanftmut' im Sphärenraum hinweist."
Sphere Space Secure Metropolises,Sphärenraum Sichere Metropolen,"Ein Name, der auf 'Sichere Metropolen' im Sphärenraum hinweist."
Sphere Space Enduring Networks,Sphärenraum Dauerhafte Netzwerke,"Ein Name, der auf 'Dauerhafte Netzwerke' im Sphärenraum hinweist."
Sphere Space Human Anchorpoints,Sphärenraum Menschliche Ankerpunkte,"Ein Name, der auf 'Menschliche Ankerpunkte' im Sphärenraum hinweist."
Sphere Space Renaissance Council,Sphärenraum Renaissance Council,"Ein Name, der auf 'Renaissance Council' im Sphärenraum hinweist."
Sphere Space Coast,Sphärenraum Küste,"Ein Name, der auf 'Küste' im Sphärenraum hinweist."
Sphere Space Earth Fields,Sphärenraum Erdfelder,"Ein Name, der auf 'Erdfelder' im Sphärenraum hinweist."
Sphere Space United Forge,Sphärenraum United Forge,"Ein Name, der auf 'United Forge' im Sphärenraum hinweist."
Sphere Space Common Guilds,Sphärenraum Gemeinsame Gilden,"Ein Name, der auf 'Gemeinsame Gilden' im Sphärenraum hinweist."
Sphere Space Habitats,Sphärenraum Lebensräume,"Ein Name, der auf 'Lebensräume' im Sphärenraum hinweist."
Sphere Space Enduring Plaza,Sphärenraum Dauerhafte Plaza,"Ein Name, der auf 'Dauerhafte Plaza' im Sphärenraum hinweist."
